#SampleID	BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Library_Name_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	collected_by_s	collection_date_s	g1k_analysis_group_s	g1k_pop_code_s	geographic_location_country_and_or_sea_s	geographic_location_region_and_locality_s	host_s	source_s	GI location	loc	sex	id	location
ERR1596940	SAMEA4393879	ERX1667507	1	0	ERR1596940	ERS1305328	TAS_ENA141	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Mouth	1	f	f2	2
ERR1596941	SAMEA4393880	ERX1667508	1	0	ERR1596941	ERS1305329	TAS_ENA142	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Esophagus	2	f	f2	2
ERR1596942	SAMEA4393881	ERX1667509	3	2	ERR1596942	ERS1305330	TAS_ENA143	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Stomach	3	f	f2	2
ERR1596943	SAMEA4393882	ERX1667510	3	2	ERR1596943	ERS1305331	TAS_ENA144	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Duodenum	4	f	f2	2
ERR1596944	SAMEA4393883	ERX1667511	3	2	ERR1596944	ERS1305332	TAS_ENA145	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Ileum	5	f	f2	2
ERR1596945	SAMEA4393884	ERX1667512	5	3	ERR1596945	ERS1305333	TAS_ENA146	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Distal Caecum	6	f	f2	2
ERR1596946	SAMEA4393885	ERX1667513	5	3	ERR1596946	ERS1305334	TAS_ENA147	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Proximal Caecum	7	f	f2	2
ERR1596947	SAMEA4393886	ERX1667514	4	3	ERR1596947	ERS1305335	TAS_ENA148	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Colon	8	f	f2	2
ERR1596948	SAMEA4393887	ERX1667515	4	3	ERR1596948	ERS1305336	TAS_ENA149	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Rectum	9	f	f2	2
ERR1596949	SAMEA4393888	ERX1667516	4	3	ERR1596949	ERS1305337	TAS_ENA150	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Feces	10	f	f2	2
ERR1596950	SAMEA4393889	ERX1667517	3	2	ERR1596950	ERS1305338	TAS_ENA151	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Mouth	1	m	m2	2
ERR1596951	SAMEA4393890	ERX1667518	3	2	ERR1596951	ERS1305339	TAS_ENA152	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Esophagus	2	m	m2	2
ERR1596952	SAMEA4393891	ERX1667519	1	0	ERR1596952	ERS1305340	TAS_ENA153	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Stomach	3	m	m2	2
ERR1596953	SAMEA4393892	ERX1667520	2	1	ERR1596953	ERS1305341	TAS_ENA154	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Duodenum	4	m	m2	2
ERR1596954	SAMEA4393893	ERX1667521	2	1	ERR1596954	ERS1305342	TAS_ENA155	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Ileum	5	m	m2	2
ERR1596955	SAMEA4393894	ERX1667522	5	3	ERR1596955	ERS1305343	TAS_ENA156	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Distal Caecum	6	m	m2	2
ERR1596956	SAMEA4393895	ERX1667523	4	3	ERR1596956	ERS1305344	TAS_ENA157	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Proximal Caecum	7	m	m2	2
ERR1596957	SAMEA4393896	ERX1667524	4	3	ERR1596957	ERS1305345	TAS_ENA158	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Colon	8	m	m2	2
ERR1596958	SAMEA4393897	ERX1667525	6	4	ERR1596958	ERS1305346	TAS_ENA159	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Rectum	9	m	m2	2
ERR1596959	SAMEA4393898	ERX1667526	5	3	ERR1596959	ERS1305347	TAS_ENA160	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Feces	10	m	m2	2
ERR1596960	SAMEA4393899	ERX1667527	2	2	ERR1596960	ERS1305348	TAS_ENA161	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Mouth	1	f	f3	3
ERR1596961	SAMEA4393900	ERX1667528	2	1	ERR1596961	ERS1305349	TAS_ENA162	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Esophagus	2	f	f3	3
ERR1596962	SAMEA4393901	ERX1667529	3	2	ERR1596962	ERS1305350	TAS_ENA163	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Stomach	3	f	f3	3
ERR1596963	SAMEA4393902	ERX1667530	3	2	ERR1596963	ERS1305351	TAS_ENA164	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Duodenum	4	f	f3	3
ERR1596964	SAMEA4393903	ERX1667531	0	0	ERR1596964	ERS1305352	TAS_ENA165	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Ileum	5	f	f3	3
ERR1596965	SAMEA4393904	ERX1667532	2	1	ERR1596965	ERS1305353	TAS_ENA166	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Distal Caecum	6	f	f3	3
ERR1596966	SAMEA4393905	ERX1667533	3	2	ERR1596966	ERS1305354	TAS_ENA167	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Proximal Caecum	7	f	f3	3
ERR1596967	SAMEA4393906	ERX1667534	2	1	ERR1596967	ERS1305355	TAS_ENA168	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Colon	8	f	f3	3
ERR1596968	SAMEA4393907	ERX1667535	3	2	ERR1596968	ERS1305356	TAS_ENA169	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Rectum	9	f	f3	3
ERR1596969	SAMEA4393908	ERX1667536	4	2	ERR1596969	ERS1305357	TAS_ENA170	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Feces	10	f	f3	3
ERR1596970	SAMEA4393909	ERX1667537	2	1	ERR1596970	ERS1305358	TAS_ENA171	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Mouth	1	m	m4	4
ERR1596971	SAMEA4393910	ERX1667538	2	2	ERR1596971	ERS1305359	TAS_ENA172	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Esophagus	2	m	m4	4
ERR1596972	SAMEA4393911	ERX1667539	2	1	ERR1596972	ERS1305360	TAS_ENA173	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Stomach	3	m	m4	4
ERR1596973	SAMEA4393912	ERX1667540	1	0	ERR1596973	ERS1305361	TAS_ENA174	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Duodenum	4	m	m4	4
ERR1596974	SAMEA4393913	ERX1667541	2	1	ERR1596974	ERS1305362	TAS_ENA175	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Ileum	5	m	m4	4
ERR1596975	SAMEA4393914	ERX1667542	6	4	ERR1596975	ERS1305363	TAS_ENA176	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Distal Caecum	6	m	m4	4
ERR1596976	SAMEA4393915	ERX1667543	0	0	ERR1596976	ERS1305364	TAS_ENA177	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Proximal Caecum	7	m	m4	4
ERR1596977	SAMEA4393916	ERX1667544	3	2	ERR1596977	ERS1305365	TAS_ENA178	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Colon	8	m	m4	4
ERR1596978	SAMEA4393917	ERX1667545	3	2	ERR1596978	ERS1305366	TAS_ENA179	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Rectum	9	m	m4	4
ERR1596979	SAMEA4393918	ERX1667546	3	2	ERR1596979	ERS1305367	TAS_ENA180	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Feces	10	m	m4	4
