#SampleID	BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	collection_date_s	geo_loc_name_s	host_subject_id_s	lat_lon_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	env_biome_s	env_feature_s	env_material_s	g1k_analysis_group_s	g1k_pop_code_s	host_s	source_s
SRR3224335	SAMN04546507	SRX1630780	egkHLT24	3/14/16	14	7	SRR3224335	SRS1338207	egkHLT24	27-May-12	Egypt	egkHLT24	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224336	SAMN04546490	SRX1630781	egkHLT03	3/14/16	37	18	SRR3224336	SRS1338231	egkHLT03	27-May-12	Egypt	egkHLT03	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224337	SAMN04546508	SRX1630782	egkHLT25	3/14/16	15	7	SRR3224337	SRS1338230	egkHLT25	28-May-12	Egypt	egkHLT25	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224338	SAMN04546509	SRX1630783	egkHLT26	3/14/16	14	6	SRR3224338	SRS1338229	egkHLT26	27-May-12	Egypt	egkHLT26	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224339	SAMN04546510	SRX1630784	egkHLT27	3/14/16	16	8	SRR3224339	SRS1338228	egkHLT27	22-May-12	Egypt	egkHLT27	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224340	SAMN04546511	SRX1630785	egkHLT28	3/14/16	15	7	SRR3224340	SRS1338227	egkHLT28	28-May-12	Egypt	egkHLT28	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224341	SAMN04546512	SRX1630786	egkHLT29	3/14/16	14	7	SRR3224341	SRS1338226	egkHLT29	27-May-12	Egypt	egkHLT29	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224342	SAMN04546513	SRX1630787	egkHLT30	3/14/16	13	6	SRR3224342	SRS1338225	egkHLT30	22-May-12	Egypt	egkHLT30	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224343	SAMN04546514	SRX1630788	egkHLT31	3/14/16	17	8	SRR3224343	SRS1338224	egkHLT31	22-May-12	Egypt	egkHLT31	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224344	SAMN04546515	SRX1630789	egkHLT32	3/14/16	13	6	SRR3224344	SRS1338223	egkHLT32	22-May-12	Egypt	egkHLT32	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224345	SAMN04546516	SRX1630790	uskHLT05	3/14/16	25	12	SRR3224345	SRS1338222	uskHLT05	1-Aug-09	USA	uskHLT05	39.7594 N 84.1917 W	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224346	SAMN04546517	SRX1630791	uskHLT08	3/14/16	32	15	SRR3224346	SRS1338221	uskHLT08	1-Aug-09	USA	uskHLT08	39.7594 N 84.1917 W	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224347	SAMN04546491	SRX1630792	egkHLT04	3/14/16	12	6	SRR3224347	SRS1338220	egkHLT04	22-May-12	Egypt	egkHLT04	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224348	SAMN04546518	SRX1630793	uskHLT13	3/14/16	15	7	SRR3224348	SRS1338219	uskHLT13	1-Aug-09	USA	uskHLT13	39.7594 N 84.1917 W	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224349	SAMN04546519	SRX1630794	uskHLT14	3/14/16	15	7	SRR3224349	SRS1338248	uskHLT14	1-Aug-09	USA	uskHLT14	39.7594 N 84.1917 W	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224350	SAMN04546520	SRX1630795	uskHLT17	3/14/16	11	5	SRR3224350	SRS1338247	uskHLT17	1-Aug-09	USA	uskHLT17	39.7594 N 84.1917 W	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224351	SAMN04546521	SRX1630796	uskHLT20	3/14/16	19	9	SRR3224351	SRS1338246	uskHLT20	1-Aug-09	USA	uskHLT20	39.7594 N 84.1917 W	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224352	SAMN04546522	SRX1630797	uskHLT22	3/14/16	13	6	SRR3224352	SRS1338245	uskHLT22	1-Aug-09	USA	uskHLT22	39.7594 N 84.1917 W	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224353	SAMN04546523	SRX1630798	uskHLT24	3/14/16	12	6	SRR3224353	SRS1338244	uskHLT24	1-Aug-09	USA	uskHLT24	39.7594 N 84.1917 W	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224354	SAMN04546524	SRX1630799	uskHLT26	3/14/16	16	7	SRR3224354	SRS1338243	uskHLT26	1-Aug-09	USA	uskHLT26	39.7594 N 84.1917 W	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224355	SAMN04546525	SRX1630800	uskHLT27	3/14/16	19	9	SRR3224355	SRS1338242	uskHLT27	1-Aug-09	USA	uskHLT27	39.7594 N 84.1917 W	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224356	SAMN04546526	SRX1630801	uskHLT29	3/14/16	12	6	SRR3224356	SRS1338241	uskHLT29	1-Aug-09	USA	uskHLT29	39.7594 N 84.1917 W	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224357	SAMN04546527	SRX1630802	uskHLT30	7/14/16	13	6	SRR3224357	SRS1338240	uskHLT30	1-Aug-09	USA	uskHLT30	39.7594 N 84.1917 W	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224358	SAMN04546492	SRX1630803	egkHLT05	3/14/16	31	15	SRR3224358	SRS1338235	egkHLT05	28-May-12	Egypt	egkHLT05	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224359	SAMN04546528	SRX1630804	uskHLT31	3/14/16	28	13	SRR3224359	SRS1338234	uskHLT31	1-Aug-09	USA	uskHLT31	39.7594 N 84.1917 W	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224360	SAMN04546529	SRX1630805	uskHLT32	3/14/16	11	5	SRR3224360	SRS1338233	uskHLT32	1-Aug-09	USA	uskHLT32	39.7594 N 84.1917 W	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224361	SAMN04546493	SRX1630806	egkHLT06	3/14/16	37	18	SRR3224361	SRS1338232	egkHLT06	22-May-12	Egypt	egkHLT06	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224362	SAMN04546494	SRX1630807	egkHLT07	3/14/16	12	6	SRR3224362	SRS1338239	egkHLT07	27-May-12	Egypt	egkHLT07	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224363	SAMN04546495	SRX1630808	egkHLT08	3/14/16	26	13	SRR3224363	SRS1338236	egkHLT08	22-May-12	Egypt	egkHLT08	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224364	SAMN04546496	SRX1630809	egkHLT10	3/14/16	35	17	SRR3224364	SRS1338238	egkHLT10	28-May-12	Egypt	egkHLT10	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224365	SAMN04546497	SRX1630810	egkHLT11	3/14/16	32	15	SRR3224365	SRS1338237	egkHLT11	28-May-12	Egypt	egkHLT11	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
