cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	G1	G2	G3	G4	G5	G6	AllFiles	AllGroups	DefaultGroups	RTMean	RTStdErr	ProteoSAFeClusterLink	UniqueFileSourcesCount	EvenOdd	LibraryID	NumberOrganismIDs	AllOrganisms	componentindex
348	1	593.331	1	593.331	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:348###	 	G1,	324.38	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=348	1	0	N/A	0	N/A	11
349	1	561.4	1	561.4	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:349###	 	G1,	288.8	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=349	1	0	N/A	0	N/A	12
816	1	1876.9	3	626.301	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:816###	 	G1,	184.61	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=816	1	0	N/A	0	N/A	13
817	1	1074.57	2	537.783	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:817###	 	G1,	169.67	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=817	1	0	N/A	0	N/A	-1
595	1	551.279	1	551.279	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:595###	 	G1,	165.7	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=595	1	0	N/A	0	N/A	39
719	1	821.441	2	411.221	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:719###	 	G1,	144.59	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=719	1	1	Phe-Ile-Lys	1	NIST17;	14
718	1	515.328	2	258.164	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:718###	 	G1,	41.75	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=718	1	1	N/A	0	N/A	-1
717	1	443.35	1	443.35	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:717###	 	G1,	340.93	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=717	1	0	Cholesta-4,6-dien-3-one	1	NIST17;	-1
716	1	379.118	1	379.118	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:716###	 	G1,	277.78	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=716	1	1	N/A	0	N/A	17
715	1	909.456	2	455.228	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:715###	 	G1,	146.45	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=715	1	1	N/A	0	N/A	-1
714	1	457.338	1	457.338	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:714###	 	G1,	177.62	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=714	1	0	Ile Val Glu	1	METLIN;	-1
713	1	219.033	2	110.016	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:713###	 	G1,	77.5	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=713	1	0	Cyanuric acid	1	NIST17;	19
712	1	1672.1	2	836.551	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:712###	 	G1,	247.82	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=712	1	1	N/A	0	N/A	20
711	1	805.56	1	805.56	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:711###	 	G1,	302.15	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=711	1	0	Spectral Match to Isodeoxycholic acid from NIST14	1	GNPS-NIST14-MATCHES;	21
710	1	219.033	2	110.016	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:710###	 	G1,	83.03	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=710	1	0	Cyanuric acid	1	NIST17;	19
915	1	593.332	1	593.332	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:915###	 	G1,	210.54	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=915	1	0	N/A	0	N/A	-1
914	1	813.549	1	813.549	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:914###	 	G1,	219.63	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=914	1	0	N/A	0	N/A	7
606	1	550.34	1	550.34	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:606###	 	G1,	234.32	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=606	1	1	N/A	0	N/A	-1
917	1	359.266	2	180.133	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:917###	 	G1,	89.83	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=917	1	1	Spectral Match to Val-Ile-Lys from NIST14	1	GNPS-NIST14-MATCHES;	4
594	1	344.279	1	344.279	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:594###	 	G1,	280.76	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=594	1	1	Spectral Match to Lauroyl L-carnitine from NIST14	1	GNPS-NIST14-MATCHES;	42
736	1	613.279	1	613.279	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:736###	 	G1,	181.21	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=736	1	1	Spectral Match to Taurocholic acid from NIST14	1	GNPS-NIST14-MATCHES;	24
916	1	652.403	2	326.701	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:916###	 	G1,	137.15	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=916	1	0	Val Pro Gln	1	METLIN;	137
1061	1	521.347	1	521.347	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:1061###	 	G1,	223.85	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=1061	1	0	NCGC00385237-01_C30H48O4_	1	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE;	-1
911	1	466.329	1	466.329	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:911###	 	G1,	329.63	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=911	1	1	N/A	0	N/A	119
1063	1	621.302	1	621.302	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:1063###	 	G1,	216.11	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=1063	1	1	Uridine 5'-monophosphate	1	NIST17;	-1
1062	1	389.218	1	389.218	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:1062###	 	G1,	214.97	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=1062	1	0	NCGC00380670-01_C19H36O8_[5-Hydroxy-2-(3-hydroxybutyl)-3,3-dimethylcyclohexyl]methyl beta-D-glucopyranoside	1	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE;	-1
1065	1	619.327	2	310.164	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:1065###	 	G1,	133.31	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=1065	1	1	Met-Pro-Lys	1	NIST17;	-1
1064	1	628.41	2	314.705	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:1064###	 	G1,	117.23	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=1064	1	0	N/A	0	N/A	-1
619	1	1263.81	2	632.407	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:619###	 	G1,	260.56	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=619	1	1	N/A	0	N/A	84
910	1	515.328	2	258.164	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:910###	 	G1,	96.17	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=910	1	1	Spectral Match to Ile-Met from NIST14	1	GNPS-NIST14-MATCHES;	38
913	1	459.347	1	459.347	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:913###	 	G1,	301.05	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=913	1	0	NCGC00380944-01_C30H46O3_(3beta,5xi,9xi,13alpha,17alpha,18xi)-3-Hydroxy-13,28-epoxyurs-11-en-28-one	1	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE;	30
298	1	591.317	1	591.317	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:298###	 	G1,	225.97	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=298	1	0	Spectral Match to Urobilin from NIST14	1	GNPS-NIST14-MATCHES;	31
299	1	547.305	2	274.152	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:299###	 	G1,	249.11	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=299	1	1	N/A	0	N/A	32
296	1	219.033	2	110.016	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:296###	 	G1,	348.27	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=296	1	0	N/A	0	N/A	19
297	1	196.017	2	98.5085	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:297###	 	G1,	53.77	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=297	1	1	N/A	0	N/A	33
294	1	622.351	2	311.675	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:294###	 	G1,	159.17	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=294	1	0	N/A	0	N/A	34
295	1	196.017	2	98.5084	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:295###	 	G1,	50.69	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=295	1	1	N/A	0	N/A	33
292	1	336.191	1	336.191	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:292###	 	G1,	156.39	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=292	1	1	Gly Ile Phe	1	METLIN;	35
293	1	683.471	2	342.235	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:293###	 	G1,	141.85	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=293	1	1	Spectral Match to Leu-Leu-Arg from NIST14	1	GNPS-NIST14-MATCHES;	4
290	1	437.193	1	437.193	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:290###	 	G1,	293.57	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=290	1	1	N/A	0	N/A	-1
291	1	839.563	1	839.563	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:291###	 	G1,	248.35	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=291	1	0	Spectral Match to Cholic acid from NIST14	1	GNPS-NIST14-MATCHES;	36
591	1	617.327	1	617.327	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:591###	 	G1,	272.36	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=591	1	0	N/A	0	N/A	11
590	1	321.241	1	321.241	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:590###	 	G1,	287.85	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=590	1	0	Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14	1	GNPS-NIST14-MATCHES;	-1
593	1	370.259	1	370.259	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:593###	 	G1,	220.1	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=593	1	1	Spectral Match to Cholic acid from NIST14	1	GNPS-NIST14-MATCHES;	80
592	1	493.274	1	493.274	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:592###	 	G1,	170.94	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=592	1	0	N/A	0	N/A	39
199	1	598.254	1	598.254	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:199###	 	G1,	185.28	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=199	1	0	Spectral Match to Taurocholic acid from NIST14	1	GNPS-NIST14-MATCHES;	1
198	1	303.168	1	303.168	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:198###	 	G1,	165.81	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=198	1	0	N-(3-Methoxyphenyl)-4-piperidinamine	1	NIST17;	11
597	1	321.143	1	321.143	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:597###	 	G1,	165.81	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=597	1	1	N/A	0	N/A	-1
596	1	205.097	1	205.097	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:596###	 	G1,	87.1	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=596	1	1	Massbank:PB006082 Tryptophan|(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid	1	MASSBANK;	40
195	1	506.278	2	253.639	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:195###	 	G1,	259.7	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=195	1	0	N/A	0	N/A	32
194	1	357.278	1	357.278	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:194###	 	G1,	264.69	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=194	1	0	Spectral Match to Chenodeoxycholic acid from NIST14	1	GNPS-NIST14-MATCHES;	41
197	1	698.321	1	698.321	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:197###	 	G1,	194.4	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=197	1	0	N/A	0	N/A	31
196	1	324.289	1	324.289	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:196###	 	G1,	327.85	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=196	1	1	Methyl 12-hydroxystearate	1	NIST17;	23
191	1	400.342	1	400.342	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:191###	 	G1,	314.66	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=191	1	1	Spectral Match to Palmitoylcarnitine from NIST14	1	GNPS-NIST14-MATCHES;	42
190	1	208.061	1	208.061	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:190###	 	G1,	103.11	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=190	1	0	DL-.beta.-Homophenylalanine	1	NIST17;	35
193	1	219.033	2	110.016	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:193###	 	G1,	343.69	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=193	1	0	N/A	0	N/A	19
192	1	799.589	1	799.589	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:192###	 	G1,	288.22	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=192	1	0	Spectral Match to Cholic acid from NIST14	1	GNPS-NIST14-MATCHES;	41
270	1	263.236	1	263.236	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:270###	 	G1,	319.77	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=270	1	0	17-Octadecynoic acid	1	NIST17;	23
271	1	407.28	1	407.28	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:271###	 	G1,	238.39	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=271	1	0	Spectral Match to 12-Ketodeoxycholic acid from NIST14	1	GNPS-NIST14-MATCHES;	43
272	1	461.362	1	461.362	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:272###	 	G1,	343.04	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=272	1	0	Spectral Match to (+)-.alpha.-Tocopherol from NIST14	1	GNPS-NIST14-MATCHES;	6
273	1	219.033	2	110.016	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:273###	 	G1,	310.47	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=273	1	0	Cyanuric acid	1	NIST17;	19
274	1	568.339	1	568.339	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:274###	 	G1,	305.21	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=274	1	1	1-Oleoyl-sn-glycero-3-phosphocholine	1	NIST17;	3
275	1	546.31	1	546.31	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:275###	 	G1,	266.85	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=275	1	1	N/A	0	N/A	44
276	1	429.373	1	429.373	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:276###	 	G1,	323.19	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=276	1	0	N/A	0	N/A	6
277	1	334.273	1	334.273	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:277###	 	G1,	261.1	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=277	1	1	Palmitoleoyl 3-carbacyclic phosphatidic acid	1	NIST17;	-1
278	1	409.293	1	409.293	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:278###	 	G1,	254.57	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=278	1	0	.beta.-Muricholic acid	1	NIST17;	41
279	1	360.214	1	360.214	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:279###	 	G1,	120.78	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=279	1	1	Val Glu Leu	1	METLIN;	35
738	1	557.363	1	557.363	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:738###	 	G1,	281.52	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=738	1	0	N/A	0	N/A	89
