#SampleID	BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	host_body_site_s	miscellaneous_parameter_s	disease	day	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Library_Name_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	collection_date_s	environment_biome_s	environment_feature_s	environment_material_s	environmental_package_s	geographic_location_country_and_or_sea_s	geographic_location_latitude_s	geographic_location_longitude_s	host_common_name_s	host_diet_s	host_sex_s	host_taxid_s	investigation_type_s	library_construction_method_s	nucleic_acid_extraction_s	project_name_s	sample_storage_temperature_s	sequencing_method_s
ERR537650	SAMEA2603602	ERX502853	16	10	ERR537650	ERS481562	Lund Chronic Parasite 2014_13	Colon content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537651	SAMEA2603603	ERX502854	15	10	ERR537651	ERS481563	Lund Chronic Parasite 2014_14	Colon content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537652	SAMEA2603604	ERX502855	12	8	ERR537652	ERS481564	Lund Chronic Parasite 2014_15	Colon content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537656	SAMEA2603608	ERX502859	12	8	ERR537656	ERS481568	Lund Chronic Parasite 2014_19	Colon content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537657	SAMEA2603609	ERX502860	12	8	ERR537657	ERS481569	Lund Chronic Parasite 2014_20	Colon content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537658	SAMEA2603610	ERX502861	11	8	ERR537658	ERS481570	Lund Chronic Parasite 2014_21	Colon content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537659	SAMEA2603611	ERX502862	18	12	ERR537659	ERS481571	Lund Chronic Parasite 2014_22	Colon content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537660	SAMEA2603612	ERX502863	19	12	ERR537660	ERS481572	Lund Chronic Parasite 2014_23	Colon content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537661	SAMEA2603613	ERX502864	12	8	ERR537661	ERS481573	Lund Chronic Parasite 2014_24	Colon content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537666	SAMEA2603618	ERX502869	10	7	ERR537666	ERS481578	Lund Chronic Parasite 2014_29	Colon content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537667	SAMEA2603619	ERX502870	13	8	ERR537667	ERS481579	Lund Chronic Parasite 2014_30	Colon content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537668	SAMEA2603620	ERX502871	13	9	ERR537668	ERS481580	Lund Chronic Parasite 2014_31	Colon content	Infected day 0	Infected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537670	SAMEA2603622	ERX502873	12	8	ERR537670	ERS481582	Lund Chronic Parasite 2014_33	Colon content	Infected day 0	Infected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537673	SAMEA2603625	ERX502876	7	4	ERR537673	ERS481585	Lund Chronic Parasite 2014_36	Colon content	Infected day 0	Infected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537675	SAMEA2603627	ERX502878	17	11	ERR537675	ERS481587	Lund Chronic Parasite 2014_38	Colon content	Infected day 0	Infected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537677	SAMEA2603629	ERX502880	10	7	ERR537677	ERS481589	Lund Chronic Parasite 2014_40	Colon content	Infected day 13	Infected	13	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537679	SAMEA2603631	ERX502882	17	11	ERR537679	ERS481591	Lund Chronic Parasite 2014_42	Colon content	Uninfected day 13	Uninfected	13	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537682	SAMEA2603634	ERX502885	17	11	ERR537682	ERS481594	Lund Chronic Parasite 2014_45	Colon content	Uninfected day 13	Uninfected	13	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537662	SAMEA2603614	ERX502865	19	13	ERR537662	ERS481574	Lund Chronic Parasite 2014_25	Colon content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
